title,description,coverImage,author,isbn,publisher,year,category,location,isHighlighted,isBorrowed,createdAt,updatedAt
Nulla ut erat id mauris vulputate elementum.,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Idalina Lovekin,853825433-2,Runolfsdottir-Torphy,2001,Politics,Shelf B2,false,true,"{""$date"":""2025-02-05T17:27:37.000Z""}","{""$date"":""2025-02-05T17:27:37.000Z""}"
"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Gallard Barson,815374894-7,Rodriguez Group,2007,Education,Shelf A2,false,true,"{""$date"":""2025-05-16T16:10:58.000Z""}","{""$date"":""2025-05-16T16:10:58.000Z""}"
Phasellus id sapien in sapien iaculis congue.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Jerrold Baroc,893740912-7,Leffler-Bashirian,1984,Mathematics,Shelf B2,true,true,"{""$date"":""2025-09-01T18:34:12.000Z""}","{""$date"":""2025-09-01T18:34:12.000Z""}"
Curabitur gravida nisi at nibh.,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Gerianne O'Hagerty,450484294-7,"Wisoky, Dooley and Treutel",1998,Business,Shelf B1,true,true,"{""$date"":""2024-12-28T03:55:06.000Z""}","{""$date"":""2024-12-28T03:55:06.000Z""}"
Mauris ullamcorper purus sit amet nulla.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Joleen Ferriere,586813373-0,"Crooks, Cassin and Keebler",2010,Literature,Shelf C2,true,true,"{""$date"":""2025-10-04T02:37:21.000Z""}","{""$date"":""2025-10-04T02:37:21.000Z""}"
Nulla tellus.,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Shaw Hynard,147318495-9,Walsh and Sons,2007,Law,Shelf C2,false,false,"{""$date"":""2025-05-27T08:45:39.000Z""}","{""$date"":""2025-05-27T08:45:39.000Z""}"
Nam dui.,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Ursulina Swaffer,101609259-8,"Schmitt, Roob and Blanda",2005,Law,Shelf B2,true,false,"{""$date"":""2025-02-08T23:27:23.000Z""}","{""$date"":""2025-02-08T23:27:23.000Z""}"
Sed vel enim sit amet nunc viverra dapibus.,"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Jenilee Broster,947008747-X,"McLaughlin, Thiel and Beatty",2005,Environment,Shelf B1,false,true,"{""$date"":""2025-02-18T22:14:02.000Z""}","{""$date"":""2025-02-18T22:14:02.000Z""}"
Praesent lectus.,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Shay Alcalde,301180577-6,Johnson and Sons,1990,Business,Shelf C2,true,true,"{""$date"":""2025-05-04T17:34:52.000Z""}","{""$date"":""2025-05-04T17:34:52.000Z""}"
Etiam vel augue.,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Gracia Walisiak,285415604-8,"Wehner, Zemlak and Pacocha",2005,Business,Shelf C2,false,false,"{""$date"":""2025-04-30T12:52:15.000Z""}","{""$date"":""2025-04-30T12:52:15.000Z""}"
Curabitur convallis.,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Caril Rubinowitz,458012952-0,"Lynch, Metz and Marvin",2003,Technology,Shelf C1,false,true,"{""$date"":""2025-03-24T00:30:45.000Z""}","{""$date"":""2025-03-24T00:30:45.000Z""}"
In quis justo.,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Mikey Leijs,468229850-X,Kohler LLC,2007,Literature,Shelf A2,false,true,"{""$date"":""2025-10-17T16:39:01.000Z""}","{""$date"":""2025-10-17T16:39:01.000Z""}"
"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.","Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Mikkel Schaffler,979920909-9,Wiegand LLC,2007,Geography,Shelf A1,true,true,"{""$date"":""2025-04-17T12:52:28.000Z""}","{""$date"":""2025-04-17T12:52:28.000Z""}"
Maecenas tincidunt lacus at velit.,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Samuel Holbie,756685705-3,Reinger Group,2010,Geography,Shelf C2,true,true,"{""$date"":""2025-06-27T09:10:28.000Z""}","{""$date"":""2025-06-27T09:10:28.000Z""}"
Praesent blandit lacinia erat.,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Marius Flaverty,483675014-8,Bednar LLC,1987,Engineering,Shelf C2,false,false,"{""$date"":""2024-10-22T20:24:09.000Z""}","{""$date"":""2024-10-22T20:24:09.000Z""}"
Nunc purus.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Nari Davidzon,580466534-0,Rau Group,1993,History,Shelf A2,false,true,"{""$date"":""2025-02-25T14:55:45.000Z""}","{""$date"":""2025-02-25T14:55:45.000Z""}"
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Lucilia Limerick,453061238-4,Lind-Kuhlman,1999,Business,Shelf A2,true,false,"{""$date"":""2025-02-04T22:24:25.000Z""}","{""$date"":""2025-02-04T22:24:25.000Z""}"
Curabitur gravida nisi at nibh.,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Taite Pollie,746079572-0,"Cole, Gottlieb and Padberg",2002,Economics,Shelf A3,true,false,"{""$date"":""2025-06-15T07:47:06.000Z""}","{""$date"":""2025-06-15T07:47:06.000Z""}"
Sed vel enim sit amet nunc viverra dapibus.,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Rouvin Ripping,509619959-2,Bergstrom Inc,1992,Business,Shelf A1,true,false,"{""$date"":""2024-10-22T19:56:13.000Z""}","{""$date"":""2024-10-22T19:56:13.000Z""}"
Vivamus vestibulum sagittis sapien.,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Tomasine Avramovic,480181982-6,Farrell Group,2003,Environment,Shelf C3,true,true,"{""$date"":""2025-08-04T03:13:58.000Z""}","{""$date"":""2025-08-04T03:13:58.000Z""}"
Integer tincidunt ante vel ipsum.,"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Shalom Bathow,064571976-5,"D'Amore, Braun and Reilly",2004,Health,Shelf C3,false,true,"{""$date"":""2025-04-11T17:40:43.000Z""}","{""$date"":""2025-04-11T17:40:43.000Z""}"
Proin interdum mauris non ligula pellentesque ultrices.,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Helen Kuzma,821333143-5,Gusikowski LLC,2007,Religion,Shelf C3,false,false,"{""$date"":""2025-03-01T05:03:04.000Z""}","{""$date"":""2025-03-01T05:03:04.000Z""}"
Integer non velit.,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Ode Torrecilla,071811742-5,Lind-Kuhic,2006,Health,Shelf A1,false,false,"{""$date"":""2025-07-12T14:31:44.000Z""}","{""$date"":""2025-07-12T14:31:44.000Z""}"
Sed accumsan felis.,"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Evyn Ladd,090387336-2,Schroeder-Littel,1995,Literature,Shelf A2,false,false,"{""$date"":""2024-11-11T13:59:11.000Z""}","{""$date"":""2024-11-11T13:59:11.000Z""}"
Etiam justo.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",https://s26162.pcdn.co/wp-content/uploads/sites/2/2022/05/Best-Reviewed-Books.jpeg,Bartholomeus Stutard,560259787-5,Gibson-Mertz,2011,Environment,Shelf B1,false,true,"{""$date"":""2025-06-16T17:18:55.000Z""}","{""$date"":""2025-06-16T17:18:55.000Z""}"
Vestibulum sed magna at nunc commodo placerat.,"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Fonz Jeves,029659970-0,Skiles LLC,1994,Economics,Shelf A3,true,true,"{""$date"":""2024-12-31T04:26:42.000Z""}","{""$date"":""2024-12-31T04:26:42.000Z""}"
Sed accumsan felis.,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Benetta Birchwood,118374589-3,Koepp and Sons,1997,Engineering,Shelf C1,true,true,"{""$date"":""2024-11-19T03:28:14.000Z""}","{""$date"":""2024-11-19T03:28:14.000Z""}"
Donec dapibus.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Aguistin Rabidge,470538412-1,Heller and Sons,1995,Environment,Shelf B2,true,false,"{""$date"":""2025-05-29T10:26:10.000Z""}","{""$date"":""2025-05-29T10:26:10.000Z""}"
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",https://greenvillejournal.com/wp-content/uploads/2024/12/books-iStock-1481862788-edited.jpg,Ken Dyke,078970258-4,"Stanton, Adams and Willms",2003,Literature,Shelf C3,true,false,"{""$date"":""2024-11-05T04:47:28.000Z""}","{""$date"":""2024-11-05T04:47:28.000Z""}"
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Devina Bartles,463007123-7,Swift LLC,1991,Education,Shelf C3,true,false,"{""$date"":""2024-11-24T05:14:40.000Z""}","{""$date"":""2024-11-24T05:14:40.000Z""}"
Morbi vel lectus in quam fringilla rhoncus.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Nap Yearsley,682324460-7,Hamill-Wisozk,2010,Sociology,Shelf B2,true,true,"{""$date"":""2025-09-18T08:15:28.000Z""}","{""$date"":""2025-09-18T08:15:28.000Z""}"
Donec posuere metus vitae ipsum.,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Seymour Poulglais,139248054-X,"Wiegand, Ledner and Conn",2010,Psychology,Shelf A2,true,true,"{""$date"":""2024-11-25T19:40:43.000Z""}","{""$date"":""2024-11-25T19:40:43.000Z""}"
Donec ut dolor.,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Nathalie Schubbert,712707302-3,Stroman Group,1984,Environment,Shelf A2,true,false,"{""$date"":""2025-07-06T11:34:20.000Z""}","{""$date"":""2025-07-06T11:34:20.000Z""}"
Vivamus vel nulla eget eros elementum pellentesque.,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.",https://images.theconversation.com/files/45159/original/rptgtpxd-1396254731.jpg?ixlib=rb-4.1.0&q=45&auto=format&w=754&fit=clip,Kristine McDugal,562431092-7,Larson Group,2010,Arts,Shelf A3,false,false,"{""$date"":""2025-05-08T07:00:08.000Z""}","{""$date"":""2025-05-08T07:00:08.000Z""}"
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Barbee Lipmann,075834180-6,Collins and Sons,2001,Economics,Shelf B1,false,false,"{""$date"":""2025-10-18T00:32:54.000Z""}","{""$date"":""2025-10-18T00:32:54.000Z""}"
Praesent lectus.,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",https://cdn.pixabay.com/photo/2018/01/17/18/43/book-3088775_1280.jpg,Mirabel Beaconsall,472986500-6,Ernser-Murazik,1984,Science,Shelf A3,true,true,"{""$date"":""2025-01-25T01:04:51.000Z""}","{""$date"":""2025-01-25T01:04:51.000Z""}"
In hac habitasse platea dictumst.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",https://books2ebooks.eu/sites/default/files/inline-images/content-front-page-open-book.png,Paule Colls,213060423-4,Mante and Sons,2011,Technology,Shelf C2,true,false,"{""$date"":""2025-09-17T01:39:20.000Z""}","{""$date"":""2025-09-17T01:39:20.000Z""}"
Nam dui.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",https://www.shutterstock.com/image-photo/open-book-on-table-stack-600nw-2636376653.jpg,Gloriane Lopez,506688761-X,Bosco-Reichel,1994,Sociology,Shelf C1,true,true,"{""$date"":""2025-06-22T10:06:23.000Z""}","{""$date"":""2025-06-22T10:06:23.000Z""}"
Suspendisse potenti.,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",https://cdn.pixabay.com/photo/2014/08/16/18/17/book-419589_640.jpg,Gilberta McVeigh,999130984-5,Kiehn LLC,1992,History,Shelf C3,false,true,"{""$date"":""2025-07-27T12:19:20.000Z""}","{""$date"":""2025-07-27T12:19:20.000Z""}"
